feature,threshold,direction,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity
question_alignment,0.5902954213987018,>=,100,0,100,0,0.5,0.5,0.5,1.0,0.0
question_alignment,0.5902954213987018,<=,1,100,0,99,0.505,0.505,1.0,0.01,1.0
question_alignment,0.5963759983912192,>=,99,0,100,1,0.495,0.495,0.49748743718592964,0.99,0.0
question_alignment,0.5963759983912192,<=,2,100,0,98,0.51,0.51,1.0,0.02,1.0
question_alignment,0.6255618102604564,>=,98,0,100,2,0.49,0.49,0.494949494949495,0.98,0.0
question_alignment,0.6255618102604564,<=,3,100,0,97,0.515,0.515,1.0,0.03,1.0
question_alignment,0.6686284723956508,>=,97,0,100,3,0.485,0.485,0.49238578680203043,0.97,0.0
question_alignment,0.6686284723956508,<=,4,100,0,96,0.52,0.52,1.0,0.04,1.0
question_alignment,0.6708320035468155,>=,96,0,100,4,0.48,0.48,0.4897959183673469,0.96,0.0
question_alignment,0.6708320035468155,<=,5,100,0,95,0.525,0.525,1.0,0.05,1.0
question_alignment,0.6741308350543587,>=,95,0,100,5,0.475,0.475,0.48717948717948717,0.95,0.0
question_alignment,0.6741308350543587,<=,6,100,0,94,0.53,0.53,1.0,0.06,1.0
question_alignment,0.674892607356376,>=,94,0,100,6,0.47,0.47,0.4845360824742268,0.94,0.0
question_alignment,0.674892607356376,<=,7,100,0,93,0.535,0.535,1.0,0.07,1.0
question_alignment,0.6824920998808185,>=,93,0,100,7,0.465,0.465,0.48186528497409326,0.93,0.0
question_alignment,0.6824920998808185,<=,7,99,1,93,0.53,0.53,0.875,0.07,0.99
question_alignment,0.683010046236862,>=,93,1,99,7,0.47,0.47000000000000003,0.484375,0.93,0.01
question_alignment,0.683010046236862,<=,8,99,1,92,0.535,0.535,0.8888888888888888,0.08,0.99
question_alignment,0.6859262272982884,>=,92,1,99,8,0.465,0.465,0.4816753926701571,0.92,0.01
question_alignment,0.6859262272982884,<=,9,99,1,91,0.54,0.54,0.9,0.09,0.99
question_alignment,0.6867101163584112,>=,91,1,99,9,0.46,0.46,0.4789473684210526,0.91,0.01
question_alignment,0.6867101163584112,<=,10,99,1,90,0.545,0.545,0.9090909090909091,0.1,0.99
question_alignment,0.6874825441155533,>=,90,1,99,10,0.455,0.455,0.47619047619047616,0.9,0.01
question_alignment,0.6874825441155533,<=,11,99,1,89,0.55,0.55,0.9166666666666666,0.11,0.99
question_alignment,0.6882854084727054,>=,89,1,99,11,0.45,0.45,0.4734042553191489,0.89,0.01
question_alignment,0.6882854084727054,<=,12,99,1,88,0.555,0.5549999999999999,0.9230769230769231,0.12,0.99
question_alignment,0.6896499667804183,>=,88,1,99,12,0.445,0.445,0.47058823529411764,0.88,0.01
question_alignment,0.6896499667804183,<=,13,99,1,87,0.56,0.56,0.9285714285714286,0.13,0.99
